id	Desplazamiento	Velocidad	Aceleracion
2.700000	0.037422	-0.869087	-1.878652	
2.710000	0.028642	-0.886215	-1.539688	
2.720000	0.019709	-0.899905	-1.192991	
2.730000	0.010656	-0.910085	-0.839919	
2.740000	0.001519	-0.916700	-0.481864	
2.750000	-0.007666	-0.919706	-0.120243	
2.760000	-0.016863	-0.919075	0.243509	
2.770000	-0.026036	-0.914793	0.607938	
2.780000	-0.035147	-0.906860	0.971583	
2.790000	-0.044161	-0.895291	1.332980	
2.800000	-0.053041	-0.880118	1.690668	
2.810000	-0.061751	-0.861383	2.043194	
2.820000	-0.070257	-0.839146	2.389119	
2.830000	-0.078523	-0.813481	2.727026	
2.840000	-0.086515	-0.784475	3.055525	
2.850000	-0.094202	-0.752228	3.373256	
2.860000	-0.101550	-0.716857	3.678898	
2.870000	-0.108529	-0.678488	3.971174	
2.880000	-0.115110	-0.637261	4.248855	
2.890000	-0.121265	-0.593330	4.510765	
2.900000	-0.126968	-0.546857	4.755787	
2.910000	-0.132195	-0.498017	4.982870	
2.920000	-0.136921	-0.446996	5.191027	
2.930000	-0.141128	-0.393988	5.379348	
2.940000	-0.144795	-0.339195	5.546995	
2.950000	-0.147907	-0.282829	5.693212	
2.960000	-0.150447	-0.225109	5.817327	
2.970000	-0.152405	-0.166258	5.918753	
2.980000	-0.153770	-0.106507	5.996993	
2.990000	-0.154533	-0.046091	6.051641	
3.000000	-0.154690	0.014753	6.082384	
3.010000	-0.154238	0.075783	6.089005	
3.020000	-0.153175	0.136758	6.071382	
3.030000	-0.151503	0.197433	6.029493	
3.040000	-0.149228	0.257566	5.963409	
3.050000	-0.146355	0.316915	5.873303	
3.060000	-0.142893	0.375240	5.759442	
3.070000	-0.138854	0.432306	5.622192	
3.080000	-0.134252	0.487880	5.462013	
3.090000	-0.129102	0.541735	5.279459	
3.100000	-0.123424	0.593649	5.075176	
3.110000	-0.117237	0.643408	4.849901	
3.120000	-0.110563	0.690807	4.604457	
3.130000	-0.103429	0.735647	4.339751	
3.140000	-0.095860	0.777741	4.056770	
3.150000	-0.087884	0.816909	3.756580	
3.160000	-0.079532	0.852987	3.440318	
3.170000	-0.070835	0.885818	3.109191	
3.180000	-0.061827	0.915259	2.764470	
3.190000	-0.052541	0.941182	2.407483	
3.200000	-0.043015	0.963469	2.039614	
3.210000	-0.033284	0.982020	1.662295	
3.220000	-0.023387	0.996747	1.277002	
3.230000	-0.013362	1.007578	0.885246	
3.240000	-0.003249	1.014455	0.488570	
3.250000	0.006913	1.017337	0.088543	
3.260000	0.017084	1.016198	-0.313249	
3.270000	0.027224	1.011030	-0.715205	
3.280000	0.037292	1.001837	-1.115721	
3.290000	0.047247	0.988644	-1.513191	
3.300000	0.057051	0.971488	-1.906016	
3.310000	0.066664	0.950424	-2.292611	
3.320000	0.076047	0.925522	-2.671412	
3.330000	0.085162	0.896869	-3.040879	
3.340000	0.093972	0.864565	-3.399504	
3.350000	0.102442	0.828727	-3.745820	
3.360000	0.110536	0.789485	-4.078402	
